Pays,population,IDH,PIB_par_habitant,import_kg_poulet_par_habitant,Politic_score,Access_Elec_Pct,LPI,consommation_kg_poulet_par_habitant,dist,Continent
Sri Lanka,22971617.0,0.776,3672.5192920463546,0.00872119711903607,-0.613,100.0,2.8,10.208283552698967,8526.015,Asia
Suisse,8870561.0,0.97,100830.69398260154,3.6738104839141514,-1.314,100.0,4.1,15.805632811724085,436.0778,Europe
Suède,10551494.0,0.959,55438.6398520437,6.3298448541978996,-1.148,100.0,4.0,13.65004993605645,1545.797,Europe
Sénégal,18077573.0,0.53,1682.0912339283598,0.006869838113777773,0.014,74.2,2.25,8.219893787733563,4217.159,Africa
Tadjikistan,10389799.0,0.691,1160.8116217647714,0.13763500140859317,-1.454,100.0,2.5,4.165779337983343,5291.823,Asia
Tchéquie,10809716.0,0.915,31749.94371304482,9.318802640143367,-0.351,100.0,3.3,20.34194607887941,884.6105,Europe
Thaïlande,71702435.0,0.798,7181.694736531612,0.01105610987967145,0.949,100.0,3.5,9.248049246863095,9454.805,Asia
Tunisie,12200431.0,0.746,3978.6342584946383,0.037194587633830316,1.233,100.0,2.57,12.401530732807718,1483.828,Africa
Turkménistan,7364438.0,0.764,8131.9626620524205,5.355902242642276,-1.823,100.0,2.41,8.158147301939401,4581.08,Asia
Turquie,87270501.0,0.853,12813.641150324094,0.7775166777145006,3.085,100.0,3.4,20.937045038849956,2255.81,Asia
Ukraine,37732836.0,0.779,4737.439332548447,1.5063916743496302,1.645,100.0,2.7,23.89946358656953,2025.144,Europe
Uruguay,3388081.0,0.862,22796.311633340527,0.8451155683704138,-2.046,100.0,3.0,21.235888398181743,10972.42,South America
Venezuela,28300854.0,0.709,4925.466385784684,0.006802621574599834,1.973,100.0,2.3,17.66875833499583,7618.86,South America
Viet Nam,100352192.0,0.766,4282.088517309118,2.354923746957117,0.401,99.8,3.3,17.690712326443254,9208.554,Asia
Yémen,39390799.0,0.47,222.3346535824267,2.9649459509567198,2.85,83.6,2.2,8.138668118917822,5317.261,Asia
Zambie,20723965.0,0.595,1330.7278144409142,1.0916072286360259,-0.521,51.1,2.53,3.364547276546742,7604.841,Africa
Zimbabwe,16340822.0,0.598,1858.425699698583,0.4668969529195043,1.62,62.0,2.5,6.450316881243795,7949.676,Africa
Égypte,114535772.0,0.754,2895.074486109021,0.2132510182059104,-0.09,100.0,3.1,18.321676829488695,3215.215,Africa
Émirats arabes unis,10642081.0,0.94,48311.080572775194,54.9728009023799,-1.457,100.0,4.0,45.94608047053955,5249.535,Asia
Équateur,17980083.0,0.777,6609.804125598308,0.0023698444551118036,0.673,98.7,2.88,31.326240262628374,9367.098,South America
États-Unis d'Amérique,343477335.0,0.938,80706.0529918226,0.17481380539999822,1.454,100.0,3.8,47.31744162973665,5838.157,North America
Éthiopie,128691692.0,0.497,1241.3112993727675,0.001050572868371332,1.612,55.4,2.376767,0.5010226301166356,5582.502,Africa
Îles Salomon,800005.0,0.584,2041.6333735414153,7.101830613558665,-0.897,81.3,2.8,7.457678389510066,15178.2,Oceania
